Title,Year,Directors,Rating,WatchedDate,Review
Bob le flambeur,1956,Jean-Pierre Melville,2.0,2019-03-19,"Took a long time for this film to catch my attention, and it never did for long. Bob didn't speak to me much as a protagonist, and gambling isn't entirely my cup of tea either. I appreciate the film though. It has a lovely soundtack and consistent, ""free"" style, which I can imagine was progressive for its time. Loved the lawn used for heist practice by the way. All in all this was no more than enjoyable to me though."
Short Cuts,1993,Robert Altman,4.0,2016-07-01,"This film understands life. Did you even think about the medfly disaster after an hour? There's always something like that, but everyday life issues take over, always. The humor and absurdity further confirm comprehension of the nature of life, and especially the role of love and its difficulties. It has a wonderful, jazzy style, with deliberate overacting at times and much camera movement. And that beautiful intro!"
The Time Masters,1982,René Laloux,3.0,2021-04-12,"Much of the characters and storyline seem inconsistent and odd, but as with Laloux's other films the depicted world is amazing, especially the drawing style and colors. Also, I believe this is more intended as a film for children than the previous ones, which possibly accounts for the former 'defects'. I particularly loved the planet Gamma 10. Definitely a fun watch, probably even more so for children."
Dog Day Afternoon,1975,Sidney Lumet,4.0,2016-06-23,"In a way this concept has been done many times, but never like this. There's a clear political tone in the crowd's admiration of Sonny, particularly his stance on ""Attica"". Unbelievable acting by particularly Al Pacino, and a lovely, subtle suspense throughout this clean, great production. It was a great watch recommended for just about anyone."
Serpico,1973,Sidney Lumet,5.0,2019-01-24,"Lovely clean cinema, with a beautiful story and a perfect performance by Al Pacino. It struck me as a romantic, one-dimensional predecessor of the series ""The Wire"" in film form in a way. Remarkable and unique."
Boccaccio 70,1962,"Vittorio De Sica,Luchino Visconti,Federico Fellini,Mario Monicelli",3.0,2016-06-23,"How I loved the priest that was cruelly beat by his instinctual, sexual arousal towards Anita Eckberg. All of the four acts were weirdly comical and carried on a style of their own. Credits in particular to Visconti's set: marvelous. It was certainly a fun watch, although not something essential."
A Scanner Darkly,2006,Richard Linklater,3.0,2022-12-13,"While being immersed in a druggy reality that feels increasingly absurd and comical, you are presented with a minimally worked out, paranoid dystopia, leaving the viewer puzzled in a vibe of mystery. The visual style is like in ""Waking Life"", but less hysterical, suiting this film's atmosphere well, more specifically enabling neat rendering of the scramble suit. A new type of Linklater, yet still very much his style."
Iverson,2014,Zatella Beatty,2.0,2016-05-20,"Practice? We talkin' 'bout practice man?
Seriously though, a fun documentary that honors this great player well."
The Forbidden Room,2015,"Guy Maddin,Evan Johnson",2.0,2016-05-07,"This certainly is one of the most bizarre films I've ever seen. A neat crucible of parody on silent film, druggy trips and randomness, which is very funny at some times -the Aswang bananas and Janus-crazed intellectual come to mind- yet dull at others. The INCEPTION-like layeredness becomes tiresome after a while and so does the incessant introduction of new characters. Still, it's certainly enjoyable and authentic."
Army of Shadows,1969,Jean-Pierre Melville,3.0,2020-04-16,"This film sheds an interesting light on the French resistance, displayed in a great, typical Melville style. Slow pacing with zooms that fulfill a narrative purpose, aesthetic wide shots and intense emotional situations veracious enough to speak for themselves. Something about the whole is slightly sloppy and there are some moments that ring less truthworthy, but it's a good film for sure."
Full Moon in Paris,1984,Éric Rohmer,3.0,2019-01-24,"As always Rohmer knows how to surprise in terms of quality within the same formula time after time. Yet another romance that goes bad among all his films, but once again he succeeds in getting the job done. It's real, it's interesting and it's fun. You simply can't go wrong with Rohmer."
Me and My Gal,1932,Raoul Walsh,2.0,2016-04-24,"I'm not sure what to say. Sometimes I felt vicariously ashamed, especially with the sidekick detective that seems to suffer from echolalia. Other times I laughed out loud: there are some witty conversations in there, and the drunks -although it takes a while before you realize how cynical it all is- are great, especially in the fish-slapping scene. I was nicely amused by this!"
The French Connection,1971,William Friedkin,4.0,2016-04-22,"Great film with a slow pace and extensive use of camera movement and zooming that really suites the mysterious feel it has throughout. Hackman plays a great indocile detective whose gut feeling fuses well with the overall atmosphere. Best of all I enjoyed the great car chase scene, which is a big compliment, since I usually cannot be bothered much with such suspense."
The Nightmare Before Christmas,1993,Henry Selick,2.0,2021-12-09,"This film feels as much authentic Burton as it can get. I am usually no big fan of the theatrical, musical style, but I have to admit it's done really well. The idea of making Halloween and Christmas separate worlds that comically mix up is very fresh and fun. Neatly done, authentic and pure, just not my style though."
Before Sunset,2004,Richard Linklater,4.0,2021-03-29,"Possessing pretty much the same qualities and flaws (if any) as its predecessor, this film is an excellent continuation. It once again makes you experience the most perfect possible romantic happenstance, and what makes it so hard to bear is its realistic value due to the amazing dialogue and emotional interaction. I'm really looking forward to seeing the last film in the trilogy, Linklater is a genius."
I Killed My Mother,2009,Xavier Dolan,3.0,2025-07-07,"A funny mixture of styles, notably borrowing slow, music-driven scenes from IN THE MOOD FOR LOVE. Sometimes it feels as if Dolan tries to hard, but this very inexperience adds to the authentic feel of the film. Hubert struck me as annoying at times, but perhaps I should consider that a quality of the film since this rebelling behaviour is faithful to reality. All in all, this is good arthouse cinema."
